rownum,text,userid,emojis_list,unique_emojis_list,emoji_present,number_of_emojis_used
15,This place is so good. Best pizza and drinks ever.,62,[],[],False,0
16,😠  Nope!  Not now. Not here 📍http://www.url.com,72,"['😠', '📍']","['📍', '😠']",True,2
17,@user54  Who wants to play ⚽️🏃🏾‍♂️ @user92,85,"['⚽', '🏃🏾\u200d♂️']","['⚽', '🏃🏾\u200d♂️']",True,2
18,RT @user9  right  🤣 wrong on so many levels!,89,['🤣'],['🤣'],True,1
19,RT @user86 🙄,1,['🙄'],['🙄'],True,1
20,All the people out in the @user101 park today is sing of spring 🏔🌲🌳http://www.url.com,17,"['🏔️', '🌲', '🌳']","['🌲', '🌳', '🏔️']",True,3
21,dirty cars 👉 wash them https://www.url.com @user54,88,['👉'],['👉'],True,1
22,So much work so little time,24,[],[],False,0
23,@user94 barbacoa wit suzm chili sauce! So good. So hot!  🌮🌶🥵you got me tony's tacos!,7,"['🌮', '🌶️', '🥵']","['🌮', '🌶️', '🥵']",True,3
24,RT @user19 @user42 @user11 If you here for the rally 🤚🔵 raise your hands for blue 🤚🔵,2,"['🤚', '🔵', '🤚', '🔵']","['🔵', '🤚']",True,4
25,RT @user92 💪hoping he wins 🙏 💪vote red 🙏 💪vote now🙏  🔴,3,"['💪', '🙏', '💪', '🙏', '💪', '🙏', '🔴']","['💪', '🔴', '🙏']",True,7
26,@user63 She forgot to bring it!!!,4,[],[],False,0
27,RT @user31 @user22 @user91 🚨EMERGENCY ALERT🚨  Weather report flash flooding.,11,"['🚨', '🚨']",['🚨'],True,2
28,she is going to rock this today 🔥💥🔥 so proud these days ⭐️❤️⭐️  ,13,"['🔥', '💥', '🔥', '⭐', '❤️', '⭐']","['❤️', '⭐', '💥', '🔥']",True,6
29,RT @user49 Get out the Catholic  ✝️ ❤️  vote today🔵Vote Blue!🔵,15,"['✝️', '❤️', '🔵', '🔵']","['✝️', '❤️', '🔵']",True,4
30,Coffee time ☕️🍩@user103,20,"['☕', '🍩']","['☕', '🍩']",True,2
31,🚨UPDATE! 🚨 It's all 💩so not happy 😡🥾🐄,31,"['🚨', '🚨', '💩', '😡', '🥾', '🐄']","['🐄', '💩', '😡', '🚨', '🥾']",True,6
32,@user40 @user41 @user42 @user43 @user44 Today!👇👇👇,66,"['👇', '👇', '👇']",['👇'],True,3
33,We love to celebrate at Rossi! 🍻🥂🎉,74,"['🍻', '🥂', '🎉']","['🍻', '🎉', '🥂']",True,3
34,🌅 Good morning beautiful. Time to rise and shine and get stuff done.,91,['🌅'],['🌅'],True,1
35,there you have it 💨💨 just like that 🤔🤔🤔,7,"['💨', '💨', '🤔', '🤔', '🤔']","['💨', '🤔']",True,5
36,RT @user85 👉🏻👉🏻news report. This just in ….. wins in this district!,6,"['👉🏻', '👉🏻']",['👉🏻'],True,2
37,🧡💙Let's go panthers!💙🧡,1,"['🧡', '💙', '💙', '🧡']","['💙', '🧡']",True,4
38,Lunch time 😋,7,['😋'],['😋'],True,1
39,RT @user85 WAKE up people,2,[],[],False,0
40,new day,3,[],[],False,0
41,Yay let go out!!! 👠  👠,74,"['👠', '👠']",['👠'],True,2
42,news flash!  http://www.url.com,6,[],[],False,0
43,Panthers win! 'Bout time!,7,[],[],False,0
44,💥Breaking news!💥 today this is the latest update,11,"['💥', '💥']",['💥'],True,2
45,@user61 👩🏽‍💻🍿👀 seeing this now?,13,"['👩🏽\u200d💻', '🍿', '👀']","['🍿', '👀', '👩🏽\u200d💻']",True,3
46,RT @user13 😍🤩😍 Oh MY !!   soooooooooo EXCITING 🤪,16,"['😍', '🤩', '😍', '🤪']","['😍', '🤩', '🤪']",True,4
47,RT @user9 My man bought me 🌹🌹🌹🌹 for each of my boys.,89,"['🌹', '🌹', '🌹', '🌹']",['🌹'],True,4
48,Awhhhhhh I hate studying 😔📚👎🏻,20,"['😔', '📚', '👎🏻']","['👎🏻', '📚', '😔']",True,3
49,Omg! 😂,74,['😂'],['😂'],True,1
50,This just in. Check this link 👉https://www.url.com,31,['👉'],['👉'],True,1
51,Black dog music 🎶  best beats in town @user123 http://www.url.com,34,['🎶'],['🎶'],True,1
52,🔁📡🔊 Attention!  🔊you did it.,43,"['🔁', '📡', '🔊', '🔊']","['📡', '🔁', '🔊']",True,4
53,RT @user9 OMG is that for real 🤭🤭🤭 you have to be tough,89,"['🤭', '🤭', '🤭']",['🤭'],True,3
54,Vacation time! ✈️🏖🏝🏊‍♀️ 🌞🌞,74,"['✈️', '🏖️', '🏝️', '🏊\u200d♀️', '🌞', '🌞']","['✈️', '🌞', '🏊\u200d♀️', '🏖️', '🏝️']",True,6
55,Done with my exams 💯 ,76,['💯'],['💯'],True,1
56,My daughter is amazing 😘 @user2,92,['😘'],['😘'],True,1
57,thank you! 😍😍 @user56,8,"['😍', '😍']",['😍'],True,2
58,RT @user85 That bus better be filled with supportes 😆  🇺🇸vote today   🇺🇸 ⬇️  @user34,7,"['😆', '🇺🇸', '🇺🇸', '⬇️']","['⬇️', '🇺🇸', '😆']",True,4
59,Spring flowers 💐🌷🌸🌹🌻,24,"['💐', '🌷', '🌸', '🌹', '🌻']","['🌷', '🌸', '🌹', '🌻', '💐']",True,5
60,Click here  👉https://www.url.com,88,['👉'],['👉'],True,1
61,BS!!!! 🤬🤬🤬,74,"['🤬', '🤬', '🤬']",['🤬'],True,3
62,🤣,1,['🤣'],['🤣'],True,1
63,Too many to count for today. What a great turn out. @user92 Thank you everyone. #hashtag https://www.url.com,2,[],[],False,0
64,All across the board  ☑️   No exceptions!!!    🙌,3,"['☑️', '🙌']","['☑️', '🙌']",True,2
65,SCORE! 👏🏼,5,['👏🏼'],['👏🏼'],True,1
66,RT @user85 Please do your part and vote today. Vote Blue or Red,6,[],[],False,0
67,Whatcha doin today @user78,7,[],[],False,0
68,So done with this rain. Bring out the sun.,9,[],[],False,0
69,RT @user85 🚨IMPORTANT! 🚨 Go Vote! Today.,11,"['🚨', '🚨']",['🚨'],True,2
70,Thinking of you mom on this special Mother's day. ❤️🥰😘@user67,13,"['❤️', '🥰', '😘']","['❤️', '😘', '🥰']",True,3
71,Love the cupcakes at this bakery. @user121 Thank you Shula's 🍉🧁,16,"['🍉', '🧁']","['🍉', '🧁']",True,2
72,RT @user 97 🔵 Blue votes count  👉🏽👉🏾🗳,18,"['🔵', '👉🏽', '👉🏾', '🗳️']","['👉🏽', '👉🏾', '🔵', '🗳️']",True,4
73,🤣no way,20,['🤣'],['🤣'],True,1
74,First snow flakes of the year ❄️☃️ https://www.url.com,24,"['❄️', '☃️']","['☃️', '❄️']",True,2
75,🔷Go Blue! ⚾️🔷🔶,74,"['🔷', '⚾', '🔷', '🔶']","['⚾', '🔶', '🔷']",True,4
76,Music list  ✅ swift record ✅ mars single ✅ grande white diamond ✅ west tunes,34,"['✅', '✅', '✅', '✅']",['✅'],True,4
77,time to go,44,[],[],False,0
78,RT @user85  🇺🇸🔴🇳🇱🔴🇺🇸TODAY YOU MUST VOTE  🔴⚪🔵USA!🔴⚪🔵,53,"['🇺🇸', '🔴', '🇳🇱', '🔴', '🇺🇸', '🔴', '⚪', '🔵', '🔴', '⚪', '🔵']","['⚪', '🇳🇱', '🇺🇸', '🔴', '🔵']",True,11
79,🛬 soooo much jetlag 🥴 😴💤,70,"['🛬', '🥴', '😴', '💤']","['💤', '😴', '🛬', '🥴']",True,4
80,What a lovely day 🌞,83,['🌞'],['🌞'],True,1
81,RT @user85 👉Fake  👉news  👉Fakes https://www.url.com,88,"['👉', '👉', '👉']",['👉'],True,3
82,Black momma and proud.,92,[],[],False,0
83,Let's get food 🍕,9,['🍕'],['🍕'],True,1
84,Panthers win! 🔷🔹🔸🔶🏆🙌,1,"['🔷', '🔹', '🔸', '🔶', '🏆', '🙌']","['🏆', '🔶', '🔷', '🔸', '🔹', '🙌']",True,6
85,@user50 @user51 @user52 @user53 @user54 Today!👇👇👇,3,"['👇', '👇', '👇']",['👇'],True,3
86,some days 🤷🏼‍♀️,4,['🤷🏼\u200d♀️'],['🤷🏼\u200d♀️'],True,1
87, 🟠🔵Go orange and blue! 🟠🔵 @user120 Panthers you can do it 🟠🔵,5,"['\U0001f7e0', '🔵', '\U0001f7e0', '🔵', '\U0001f7e0', '🔵']","['🔵', '\U0001f7e0']",True,6
88,Massive landslide today at the polls! Https://www.url.com,6,[],[],False,0
89,RT @user9 what a jerk🤔 gonna be weird,89,['🤔'],['🤔'],True,1
90,I agree w U @user76  ❤ but for real?,8,['❤️'],['❤️'],True,1
91,I am so excited it is completely filled.,9,[],[],False,0
92,It's all fake! @user1 @user2 @user3,10,[],[],False,0
93,🚨TRAFFIC ALERT 🚨  Highway 1014 is blocked at Moore Ln. Police are on the scene. 🚗🚔,11,"['🚨', '🚨', '🚗', '🚔']","['🚔', '🚗', '🚨']",True,4
94,All my black ladies where you at 👩🏽‍💼 It's time! See you soon ✝️ @user63,13,"['👩🏽\u200d💼', '✝️']","['✝️', '👩🏽\u200d💼']",True,2
95,I love you 😊,16,['😊'],['😊'],True,1
96,RT @user85 You must go VOTE👉🏾do it @user 3 http://www.url.com,19,['👉🏾'],['👉🏾'],True,1
97,This pub @user 105 is the best 🇬🇧✌🏻,24,"['🇬🇧', '✌🏻']","['✌🏻', '🇬🇧']",True,2
98,Outta here ⚾️💫🌏,32,"['⚾', '💫', '🌏']","['⚾', '🌏', '💫']",True,3
99,🌹💐 Happy mother's day 💐🌹,35,"['🌹', '💐', '💐', '🌹']","['🌹', '💐']",True,4
100,Need I say more? @user13,52,[],[],False,0
101,At the zoo today 🐼http://www.url.com,7,['🐼'],['🐼'],True,1
102,RT @user85 🇺🇸🥰🤗  #VoteRed,61,"['🇺🇸', '🥰', '🤗']","['🇺🇸', '🤗', '🥰']",True,3
103,Love to get snow ice at Rora's @user103  Fruit punch 🍧 the best 😛 http://www.url.com,71,"['🍧', '😛']","['🍧', '😛']",True,2
104,So much rain 🌧 🏳️‍🌈gonna be a rainbow,83,"['🌧️', '🏳️\u200d🌈']","['🌧️', '🏳️\u200d🌈']",True,2
105,And there it is folks - homerun http://www.url.com,89,[],[],False,0
106,🍸🥃🧊Rossi @user102 on the rocks Happy Hour special start at 5 pm Tuesday. http://www.url.com,99,"['🍸', '🥃', '\U0001f9ca']","['🍸', '🥃', '\U0001f9ca']",True,3
107,Hold on  ⬅️  http://www.url.com http://www.url.com It's a repeat  ⬅️  http://www.url.com,10,"['⬅️', '⬅️']",['⬅️'],True,2
108,😂 gonna be some trouble now,8,['😂'],['😂'],True,1
109,💥Today is the day. http://www.url.com,34,['💥'],['💥'],True,1
110,failed my class now I can finally relax 😎,8,['😎'],['😎'],True,1
111,Happy Mother's Day to all you moms out there 💐🤱🏽👶🏽👩🏽‍👧🏽‍👦🏽,13,"['💐', '🤱🏽', '👶🏽', '👩🏽\u200d👧🏽\u200d👦🏽']","['👩🏽\u200d👧🏽\u200d👦🏽', '👶🏽', '💐', '🤱🏽']",True,4
112,No more rain 😎,89,['😎'],['😎'],True,1
113,RT @user89 Mi madre! ❤️ Happy Mother's Day!,9,['❤️'],['❤️'],True,1
114,Thinking of all you moms today on Mother's Day.,14,[],[],False,0
115,He is so crazy! Did you see that goal 🥅 🏃🏻‍♂️,36,"['🥅', '🏃🏻\u200d♂️']","['🏃🏻\u200d♂️', '🥅']",True,2
116,🤣🤣🤣🤣🤣🤣🤣,16,"['🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']",['🤣'],True,7
117,At shore lake in the park. Another great day on the water 🚣‍♂️🌊 http://www.url.com,52,"['🚣\u200d♂️', '🌊']","['🌊', '🚣\u200d♂️']",True,2
118,Best happy hour! 🍸@user102 http://www.url.com,7,['🍸'],['🍸'],True,1
